1:1011,17,390,341,55,324,291,794,167,327,121,309,219,1128,99,105,252,154,709,18,890,106,106,199,102,
2:51,53,58,86,171,13,199,37,165,19,79,302,169,92,78,66,288,207,64,82,207,116,84,112,77,
3:450,397,112,50,164,76,484,196,80,388,48,384,95,118,15,28,10,119,406,30,144,41,67,433,63,
4:307,39,162,135,166,50,15,297,13,40,37,229,129,71,16,76,112,30,128,35,384,100,12,158,95,
5:10,28,46,34,236,77,41,48,244,44,50,87,207,63,44,106,26,91,43,304,72,26,17,38,46,
6:177,23,10,27,15,90,15,37,80,195,136,40,38,16,29,46,10,68,84,90,218,39,79,63,23,
7:47,26,34,56,70,66,119,37,42,107,30,208,55,48,11,63,49,52,33,48,11,12,115,55,25,
8:32,156,173,38,121,12,83,33,21,24,186,23,39,46,23,34,12,31,12,41,43,90,152,83,45,
9:38,68,25,128,37,172,20,66,70,51,12,32,21,11,112,17,64,21,17,27,44,11,133,39,11,
10:22,27,53,46,21,37,44,94,56,47,29,136,135,78,43,105,36,55,20,71,136,74,18,51,19,
11:33,26,36,59,45,49,14,182,24,43,32,26,22,21,54,21,42,34,60,13,22,24,36,28,97,
12:84,45,72,40,24,47,140,19,32,33,53,80,16,13,36,37,61,85,26,31,28,35,52,13,69,
13:127,98,11,72,46,61,29,32,37,76,13,28,93,109,186,73,87,80,21,48,135,51,17,45,15,
14:41,163,100,42,42,122,58,42,43,129,22,67,41,45,49,22,18,20,25,43,40,17,23,127,20,
15:44,72,27,22,15,46,35,44,14,50,41,110,46,23,9,123,83,197,112,111,119,206,151,111,43,
20:50,35,47,23,50,17,135,18,44,18,50,76,13,18,57,101,97,12,14,31,57,109,79,50,38,
25:57,53,54,20,19,89,30,19,67,72,90,8,21,86,197,52,32,57,55,60,23,50,19,90,83,
30:100,55,223,73,55,91,30,38,59,180,78,51,75,38,45,92,100,30,74,88,32,56,75,51,72,
40:127,269,136,881,31,89,206,263,108,120,95,229,68,201,923,66,22,48,124,115,127,119,87,196,125,
50:106,296,179,258,310,371,79,327,823,58,234,308,78,164,101,435,175,103,100,100,161,95,188,97,179,
100:292,956,116,78,894,704,162,79,571,77,78,216,1250,891,96,83,697,581,407,79,41,13,79,91,579,
200:901,327,183,242,689,29,31,475,105,107,163,316,67,688,167,741,211,110,130,570,596,25,1049,25,29,
1:105,252,389,177,315,318,1283,142,41,212,317,210,148,314,98,257,793,249,1069,171,245,97,405,251,102,
2:58,134,162,722,69,88,75,132,203,35,115,597,109,506,115,180,199,39,164,242,185,80,299,160,153,
3:392,79,397,140,111,45,28,130,281,113,38,19,33,25,89,18,62,88,117,62,15,93,374,110,112,
4:366,150,114,125,111,91,30,70,72,32,38,70,47,29,27,49,146,31,38,78,70,91,25,98,27,
5:28,45,43,40,63,90,134,45,95,37,17,50,96,170,15,44,55,38,223,42,130,84,70,164,123,
6:53,51,71,24,12,122,30,21,209,73,28,194,26,55,13,114,74,38,28,67,11,64,60,219,22,
7:128,11,59,37,92,57,189,58,53,71,33,36,40,12,37,51,11,48,187,177,78,36,48,88,56,
8:96,27,16,22,24,52,172,66,43,29,62,12,71,41,48,19,16,39,108,68,59,31,22,76,45,
9:39,37,95,28,115,43,39,41,75,107,12,66,26,31,46,97,151,40,30,16,71,32,125,14,12,
10:16,21,141,23,52,13,51,21,62,60,69,118,72,39,127,24,11,58,22,22,36,21,28,92,22,
11:44,11,169,24,13,41,60,19,66,37,40,117,53,20,86,44,25,37,77,73,24,58,85,23,9,
12:58,27,171,124,48,50,52,49,47,112,58,21,37,99,23,156,151,38,144,52,14,33,35,48,18,
13:35,51,47,33,53,35,98,66,174,59,23,92,104,52,49,40,76,55,33,35,140,32,106,179,84,
14:72,18,76,38,26,150,26,32,97,158,53,22,22,38,17,86,72,146,39,33,46,73,68,41,65,
15:66,26,20,147,68,51,87,110,35,31,37,49,45,120,16,41,33,37,28,32,23,90,64,38,49,
20:80,109,27,43,40,24,52,22,104,101,103,58,99,82,97,61,79,64,52,39,78,76,48,24,58,
25:89,19,109,84,22,50,29,127,25,55,24,55,104,33,118,133,30,52,63,102,13,23,34,26,71,
30:73,155,299,92,125,54,170,227,55,228,46,181,320,176,78,79,52,79,34,38,103,58,56,113,57,
40:26,217,29,135,174,93,253,130,26,216,68,63,32,93,63,126,8,35,208,127,40,214,17,234,96,
50:56,62,694,101,77,72,500,574,314,76,76,238,271,13,58,26,102,398,35,104,57,102,288,77,525,
100:20,47,598,81,630,333,785,568,2058,585,413,95,583,554,83,50,215,533,143,12,48,589,339,222,689,
200:106,25,1003,600,372,603,104,711,48,74,130,108,103,25,420,223,492,1157,104,107,83,615,242,14,1507,
1:57,1076,231,225,104,261,570,264,281,870,158,108,233,98,262,118,488,99,307,167,244,163,253,285,217,
2:8,54,678,130,149,110,72,111,134,15,55,122,213,108,133,169,363,108,187,37,36,574,35,78,130,
